Comune,Totale,alberghieri,extralberghieri
Aldino,24.0223746062,28.8071357612,13.8167915906
Andriano,24.4408822493,31.6486577817,9.9157905227
Anterivo,27.1262512694,28.1065378145,14.6795827124
Appiano s.s.d.v.,30.1008373629,33.0843583457,25.7377345519
Avelengo,43.4491062332,54.4894676538,20.7740782224
Badia,30.9118564187,36.7948752036,21.407256911
Barbiano,29.3263976461,36.0418599856,15.0896174863
Bolzano,44.9565177918,51.55017408,22.0414501706
Braies,28.9555142005,30.5656263136,24.9764648596
Brennero,38.2787904105,26.4079453906,62.4800693509
Bressanone,30.8484021851,36.0417080028,19.8101853786
Bronzolo,41.1202185792,41.6996419823,38.7197501952
Brunico,39.8748678021,43.5754113323,29.9977369994
Caines,28.7498138411,30.7932035519,26.3828103751
Caldaro s.s.d.v.,28.7471324351,33.6517521816,23.4698294185
Campo di Trens,31.4232223864,34.677026267,16.2888036275
Campo Tures,36.93174602,42.0424557701,23.4987542886
Castelbello-Ciardes,26.8081541469,28.4755536931,22.2558060109
Castelrotto,37.8222811465,43.9823443606,20.7567449859
Cermes,32.702658738,39.0661828968,19.0255009107
Chienes,29.0812098328,37.5496715211,13.1980035904
Chiusa,21.5978678922,31.6509423858,9.2854947641
Cornedo all'Isarco,28.2151349798,32.2764381221,18.0758465844
Cortaccia s.s.d.v.,30.5990151468,44.181503026,18.4822633696
Cortina s.s.d.v.,42.3122798258,40.1172442415,51.2049880902
Corvara in Badia,35.9409452593,38.5547001239,25.7432331866
Curon Venosta,30.0768273549,35.2708949461,18.0029282998
Dobbiaco,27.42511282,28.3905296386,25.8573556021
Egna,18.306010929,18.6380181146,16.2318585111
Falzes,33.8743789356,36.6252494207,27.14849292
Fie' allo Sciliar,34.3723606387,40.5078184489,28.3301523717
Fortezza,26.9516983826,26.9516983826,0
Funes,25.536584032,31.4000322759,19.063825681
Gais,36.0201016611,41.2103554881,14.8505941539
Gargazzone,21.721997968,27.398249173,4.5785726114
Glorenza,23.0201061521,24.249623822,20.6303394135
Laces,28.7801520182,32.4488390888,23.719150459
Lagundo,34.1444181872,37.3066175969,25.1888204379
Laion,31.7430202879,39.7134760843,19.7472759991
Laives,35.0121265835,36.8498021289,31.8307218816
Lana,30.3488706024,32.8301253407,26.5701071905
Lasa,15.8998766085,16.0910746812,15.7014011005
Lauregno,9.5628415301,0,9.5628415301
Luson,24.899230272,28.0061772392,10.3156016505
Magre' s.s.d.v.,32.2484731598,33.5795054915,28.4074941452
Malles Venosta,29.1712019904,35.7241896505,18.5407997861
Marebbe,42.8820553462,41.9317367639,44.5633460407
Marlengo,30.6816784918,36.8591065,12.9537470726
Martello,11.1444075715,20.9749094548,2.1355693487
Meltina,20.2089794713,20.2085424334,20.2098360656
Merano,37.3014016307,38.4061407065,31.7998516516
Monguelfo-Tesido,26.8734482373,34.0430640884,18.0060584462
Montagna,18.7126495585,21.2087626564,14.6793143487
Moso in Passiria,25.6929231084,32.7486458764,13.553615381
Nalles,25.5018918026,29.410581668,17.6845120719
Naturno,33.87516459,37.0936613164,27.9802337438
Naz-Sciaves,29.4251389791,30.8677761073,18.9581893935
Nova Levante,27.5468172343,30.1491579688,20.445823828
Nova Ponente,36.2599155986,40.0362017785,21.2532048792
Ora,33.2158060217,36.6789081134,25.73688729
Ortisei,33.6194770108,41.97251379,23.0554259809
Parcines,32.985712321,37.6633597531,22.0024638954
Perca,24.0094905753,28.7904670065,19.1592246307
Plaus,31.728818917,34.407577045,16.8593615186
Ponte Gardena,51.2465846995,63.0727196301,0
Postal,20.2630643441,27.4607493155,5.4769406027
Prato allo Stelvio,28.5422749597,22.6443768997,32.7491225732
Predoi,19.8409774667,31.125462273,5.6996610638
Proves,13.2761403211,14.6795827124,12.716797339
Racines,28.9032685539,41.6854866445,10.1776218697
Rasun Anterselva,36.143204608,39.5693868171,31.6945980399
Renon,38.6758189992,37.9819378496,40.7767369243
Rifiano,32.2164210776,37.0859967242,21.8249304052
