Comune,Totale,alberghieri,extralberghieri,italiani,stranieri,semestre estivo
Aldino,13065,10683,2382,5623,7442,8420
Andriano,9115,7746,1369,1541,7574,7335
Anterivo,3902,3822,80,947,2955,2338
Appiano s.s.d.v.,81631,66023,15608,11745,69886,66720
Avelengo,26881,23834,3047,4517,22364,16464
Badia,154307,116510,37797,105705,48602,54661
Barbiano,20264,17540,2724,2151,18113,13993
Bolzano,226244,211745,14499,106691,119553,130953
Braies,22568,18057,4511,14211,8357,14609
Brennero,29759,20958,8801,13782,15977,13436
Bressanone,133794,111049,22745,62176,71618,72989
Bronzolo,1728,1728,0,1137,591,980
Brunico,103892,91593,12299,57617,46275,44165
Caines,2302,1451,851,96,2206,2033
Caldaro s.s.d.v.,79370,55158,24212,5697,73673,69904
Campo di Trens,44865,40630,4235,9829,35036,25325
Campo Tures,63942,55794,8148,30166,33776,32319
Castelbello-Ciardes,10289,9137,1152,1304,8985,8727
Castelrotto,181711,158747,22964,90052,91659,94091
Cermes,15000,13357,1643,1878,13122,11449
Chienes,51765,45543,6222,16088,35677,26478
Chiusa,40294,33773,6521,11811,28483,27273
Cornedo all'Isarco,15117,12769,2348,3661,11456,12032
Cortaccia s.s.d.v.,8890,5625,3265,909,7981,7172
Cortina s.s.d.v.,7345,7031,314,899,6446,5557
Corvara in Badia,150694,127043,23651,93849,56845,55406
Curon Venosta,54432,43711,10721,15636,38796,23029
Dobbiaco,105125,72973,32152,76994,28131,65182
Egna,7122,6390,732,2095,5027,5250
Falzes,23685,19981,3704,10251,13434,11249
Fie' allo Sciliar,48868,34356,14512,20141,28727,31371
Fortezza,5590,5590,0,1624,3966,3667
Funes,16693,11017,5676,7290,9403,13910
Gais,30473,29050,1423,11379,19094,14404
Gargazzone,6183,5814,369,2190,3993,4340
Glorenza,11227,5336,5891,3351,7876,10023
Laces,48832,34874,13958,6499,42333,37504
Lagundo,63890,55682,8208,7829,56061,51562
Laion,19372,15192,4180,7367,12005,10723
Laives,51585,42795,8790,20081,31504,34305
Lana,76351,55441,20910,8189,68162,61834
