Comune,Totale,alberghieri,extralberghieri,italiani,stranieri,semestre estivo
Aldino,75916,59891,16025,33084,42832,48602
Andriano,46826,35593,11233,5769,41057,39292
Anterivo,25157,24039,1118,7720,17437,15749
Appiano s.s.d.v.,477162,362232,114930,90743,386419,389479
Avelengo,167588,146338,21250,22454,145134,108414
Badia,920089,676002,244087,620554,299535,330961
Barbiano,101199,86173,15026,9229,91970,75594
Bolzano,544051,480133,63918,254600,289451,312310
Braies,110143,86216,23927,72672,37471,73812
Brennero,158036,94702,63334,88589,69447,79187
Bressanone,486731,379777,106954,226082,260649,273090
Bronzolo,10705,10705,0,7820,2885,5506
Brunico,473952,398080,75872,256675,217277,208485
Caines,17054,10506,6548,1067,15987,15186
Caldaro s.s.d.v.,413895,261280,152615,24762,389133,372436
Campo di Trens,111988,99558,12430,28970,83018,67902
Campo Tures,385759,322151,63608,168861,216898,212773
Castelbello-Ciardes,59886,49584,10302,6190,53696,52640
Castelrotto,1092308,924853,167455,510294,582014,586139
Cermes,82020,71645,10375,5518,76502,65702
Chienes,266382,230864,35518,75899,190483,149278
Chiusa,165127,136911,28216,51444,113683,115226
Cornedo all'Isarco,82974,67527,15447,19506,63468,68310
Cortaccia s.s.d.v.,42606,23845,18761,3310,39296,36381
Cortina s.s.d.v.,24309,22999,1310,1643,22666,20253
Corvara in Badia,886607,768903,117704,551587,335020,296998
Curon Venosta,286240,231863,54377,81076,205164,109318
Dobbiaco,535634,359329,176305,404911,130723,349274
Egna,27640,22787,4853,11707,15933,18442
Falzes,132983,103937,29046,58485,74498,71150
Fie' allo Sciliar,284854,181117,103737,99515,185339,199568
Fortezza,20147,20147,0,3291,16856,14481
Funes,113436,71535,41901,50901,62535,96729
Gais,164938,154097,10841,63877,101061,86884
Gargazzone,30692,28057,2635,13255,17437,21965
Glorenza,38597,11501,27096,12421,26176,35432
Laces,271848,187249,84599,26205,245643,220643
Lagundo,412161,350085,62076,29097,383064,351487
Laion,100945,76447,24498,40043,60902,60900
Laives,211406,132076,79330,65898,145508,148894
Lana,441388,282963,158425,37989,403399,369057
Lasa,15592,5509,10083,4470,11122,12129
Lauregno,1255,0,1255,584,671,1243
Luson,82075,77599,4476,18672,63403,49536
Magre' s.s.d.v.,11419,9711,1708,4810,6609,8780
Malles Venosta,262354,217352,45002,79936,182418,170216
Marebbe,510005,361183,148822,387693,122312,186466
Marlengo,208934,181110,27824,19630,189304,175764
Martello,50683,42357,8326,11216,39467,43576
Meltina,22272,15212,7060,5289,16983,20131
Merano,851602,728877,122725,278292,573310,610039
Monguelfo-Tesido,128149,93416,34733,72866,55283,76935
Montagna,59059,41226,17833,9364,49695,49236
Moso in Passiria,82949,63014,19935,23168,59781,53039
Nalles,66945,56584,10361,4926,62019,56937
Naturno,421326,297146,124180,26769,394557,361068
Naz-Sciaves,325278,309195,16083,73663,251615,202932
Nova Levante,251475,214057,37418,109475,142000,145828
Nova Ponente,356694,323229,33465,90273,266421,179423
Ora,144078,111566,32512,33254,110824,108547
Ortisei,517158,399910,117248,335301,181857,212026
Parcines,289279,244810,44469,20199,269080,251044
Perca,29413,23720,5693,17673,11740,13794
Plaus,50896,45987,4909,2028,48868,42182
Ponte Gardena,5071,5071,0,0,5071,2954
Postal,49817,43453,6364,17454,32363,35494
Prato allo Stelvio,137411,46687,90724,40471,96940,112477
Predoi,24279,20387,3892,14085,10194,12195
Proves,1648,453,1195,503,1145,1364
Racines,520648,463992,56656,155031,365617,265741
Rasun Anterselva,382856,243084,139772,171978,210878,210480
Renon,300078,231288,68790,135548,164530,229690
Rifiano,74356,63035,11321,2596,71760,67850
Rio di Pusteria,574703,556909,17794,167514,407189,302189
Rodengo,93493,83928,9565,26425,67068,57951
Salorno,32562,25501,7061,13954,18608,23389
S.Candido,385183,291837,93346,330904,54279,199013
S.Genesio Atesino,47837,35827,12010,16522,31315,37640
S.Leonardo in Passiria,194531,178692,15839,25009,169522,164717
S.Lorenzo di Sebato,332247,232062,100185,117053,215194,169799
S.Martino in Badia,97652,66099,31553,62449,35203,60760
S.Martino in Passiria,177681,164046,13635,10047,167634,157200
S.Pancrazio,20439,9841,10598,3053,17386,16006
S.Cristina Val Gardena,316092,236383,79709,144029,172063,124065
Sarentino,115855,94578,21277,54455,61400,71706
Scena,937244,864845,72399,38812,898432,786884
Selva dei Molini,94463,78255,16208,24884,69579,42123
Selva di Val Gardena,1078626,916042,162584,526672,551954,366776
Senales,318778,293183,25595,112804,205974,135561
Sesto,584074,380415,203659,326584,257490,323889
Silandro,138932,125324,13608,31157,107775,115252
Sluderno,42271,36716,5555,10577,31694,30754
Stelvio,369934,327515,42419,109967,259967,148475
Terento,164965,150430,14535,48164,116801,105621
Terlano,78241,53714,24527,19995,58246,60151
Termeno s.s.d.v.,143112,100082,43030,13773,129339,125000
Tesimo,95106,80153,14953,4575,90531,78893
Tires,93381,80834,12547,20636,72745,80056
Tirolo,665836,608893,56943,25272,640564,585693
Trodena nel parco naturale,54583,51049,3534,20988,33595,32118
Tubre,14531,10197,4334,6416,8115,11977
Ultimo,118834,94309,24525,29699,89135,68707
Vadena,28946,27409,1537,1922,27024,23611
Valdaora,442933,350833,92100,180146,262787,188231
Val di Vizze,103253,95735,7518,50424,52829,60998
Valle Aurina,716973,616369,100604,230966,486007,342103
Valle di Casies,178915,122985,55930,115298,63617,112730
Vandoies,63027,42932,20095,25623,37404,38633
Varna,86635,63285,23350,28055,58580,58082
Verano,27882,20443,7439,6805,21077,23210
Villabassa,101769,67080,34689,78405,23364,68299
Villandro,120949,112295,8654,8783,112166,85858
Vipiteno,197089,175833,21256,104160,92929,107907
Velturno,80813,63611,17202,30562,50251,51436
La Valle,72338,54843,17495,38870,33468,35246
Senale-S.Felice,11683,11305,378,5443,6240,9377
Totale,26150824,21076534,5074290,9558781,16592043,15831131
